Step,Instant_Acc,Avg_Acc
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,100.0,9.090909004211426
11,0.0,8.333333969116211
12,0.0,7.692307949066162
13,0.0,7.142857551574707
14,0.0,6.6666669845581055
15,0.0,6.25
16,0.0,5.882352828979492
17,0.0,5.555555820465088
18,0.0,5.263157844543457
19,0.0,5.0
20,0.0,4.761904716491699
21,0.0,4.545454502105713
22,0.0,4.34782600402832
23,0.0,4.1666669845581055
24,100.0,8.0
25,0.0,7.692307949066162
26,0.0,7.407407283782959
27,0.0,7.142857551574707
28,0.0,6.896551609039307
29,100.0,10.000000953674316
30,0.0,9.67741870880127
31,0.0,9.375
32,0.0,9.090909004211426
33,0.0,8.823529243469238
34,0.0,8.571428298950195
35,0.0,8.333333015441895
36,0.0,8.108108520507812
37,0.0,7.8947367668151855
38,0.0,7.692307949066162
39,0.0,7.5
40,0.0,7.317072868347168
41,0.0,7.142857074737549
42,100.0,9.302325248718262
43,0.0,9.090909004211426
44,0.0,8.88888931274414
45,0.0,8.69565200805664
46,0.0,8.510638236999512
47,0.0,8.333333969116211
48,0.0,8.163265228271484
49,0.0,8.0
50,0.0,7.843137741088867
51,0.0,7.692307949066162
52,0.0,7.5471696853637695
53,0.0,7.407407283782959
54,0.0,7.272727012634277
55,0.0,7.142857551574707
56,0.0,7.017543792724609
57,0.0,6.896551609039307
58,0.0,6.779661178588867
59,0.0,6.6666669845581055
60,0.0,6.557376861572266
61,0.0,6.45161247253418
62,0.0,6.349206924438477
63,0.0,6.25
64,100.0,7.692307472229004
65,0.0,7.57575798034668
66,0.0,7.462686538696289
67,0.0,7.352941036224365
68,100.0,8.69565200805664
69,0.0,8.571428298950195
70,0.0,8.450703620910645
71,100.0,9.722222328186035
72,100.0,10.958904266357422
73,0.0,10.810811042785645
74,0.0,10.666666984558105
75,0.0,10.526315689086914
76,0.0,10.389610290527344
77,100.0,11.538461685180664
78,0.0,11.39240550994873
79,0.0,11.25
80,0.0,11.111111640930176
81,0.0,10.97560977935791
82,0.0,10.84337329864502
83,0.0,10.714285850524902
84,0.0,10.588235855102539
85,100.0,11.627906799316406
86,0.0,11.494253158569336
87,0.0,11.36363697052002
88,0.0,11.235955238342285
89,0.0,11.111111640930176
90,0.0,10.98901081085205
91,0.0,10.8695650100708
92,100.0,11.827957153320312
93,0.0,11.702127456665039
94,100.0,12.631579399108887
95,0.0,12.5
96,100.0,13.402061462402344
97,0.0,13.265305519104004
98,0.0,13.13131332397461
99,0.0,13.0
100,0.0,12.87128734588623
101,0.0,12.745098114013672
102,0.0,12.621358871459961
103,0.0,12.5
104,0.0,12.380952835083008
105,0.0,12.264151573181152
106,0.0,12.149532318115234
107,0.0,12.037036895751953
108,0.0,11.926605224609375
109,0.0,11.818181037902832
110,100.0,12.6126127243042
111,0.0,12.500000953674316
112,0.0,12.38938045501709
113,0.0,12.280701637268066
114,0.0,12.173912048339844
115,0.0,12.068965911865234
116,0.0,11.965812683105469
117,0.0,11.86440658569336
118,0.0,11.7647066116333
119,0.0,11.666666984558105
120,0.0,11.570247650146484
121,0.0,11.475409507751465
122,0.0,11.382113456726074
123,0.0,11.290322303771973
124,0.0,11.200000762939453
125,0.0,11.111111640930176
126,0.0,11.023621559143066
127,0.0,10.9375
128,0.0,10.852713584899902
129,0.0,10.769230842590332
130,0.0,10.687023162841797
131,0.0,10.606060981750488
132,0.0,10.526315689086914
133,0.0,10.447760581970215
134,0.0,10.370369911193848
135,0.0,10.29411792755127
136,0.0,10.218977928161621
137,100.0,10.8695650100708
138,0.0,10.791367530822754
139,100.0,11.428571701049805
140,0.0,11.347517013549805
141,0.0,11.267605781555176
142,0.0,11.188811302185059
143,0.0,11.111111640930176
144,0.0,11.034482955932617
145,0.0,10.958904266357422
146,0.0,10.884353637695312
147,0.0,10.810811042785645
148,0.0,10.738255500793457
149,0.0,10.666666984558105
150,0.0,10.596026420593262
151,0.0,10.526315689086914
152,0.0,10.45751667022705
153,100.0,11.038961410522461
154,0.0,10.967741966247559
155,0.0,10.897436141967773
156,0.0,10.828025817871094
157,0.0,10.759493827819824
158,0.0,10.691823959350586
159,0.0,10.625
160,0.0,10.559006690979004
161,0.0,10.493826866149902
162,0.0,10.429447174072266
163,0.0,10.365853309631348
164,0.0,10.303030014038086
165,0.0,10.24096393585205
166,0.0,10.179640769958496
167,0.0,10.119048118591309
168,0.0,10.059171676635742
169,0.0,10.0
170,100.0,10.526315689086914
171,0.0,10.465116500854492
172,0.0,10.404623985290527
173,0.0,10.344827651977539
174,0.0,10.285714149475098
175,0.0,10.227272987365723
176,100.0,10.734463691711426
177,0.0,10.67415714263916
178,0.0,10.614524841308594
179,0.0,10.55555534362793
180,0.0,10.497238159179688
181,0.0,10.439560890197754
182,0.0,10.382513046264648
183,100.0,10.8695650100708
184,0.0,10.810811042785645
185,0.0,10.75268840789795
186,0.0,10.69518756866455
187,0.0,10.638297080993652
188,0.0,10.582010269165039
189,0.0,10.52631664276123
190,0.0,10.47120475769043
191,0.0,10.416666984558105
192,0.0,10.362693786621094
193,100.0,10.824742317199707
194,100.0,11.282052040100098
195,0.0,11.224489212036133
196,0.0,11.167512893676758
197,0.0,11.11111068725586
198,0.0,11.055275917053223
199,0.0,11.0
200,0.0,10.945273399353027
201,0.0,10.891088485717773
202,0.0,10.837438583374023
203,0.0,10.784314155578613
204,0.0,10.731707572937012
205,0.0,10.679612159729004
206,0.0,10.628019332885742
207,0.0,10.576923370361328
208,100.0,11.00478458404541
209,0.0,10.952381134033203
210,100.0,11.374407768249512
211,0.0,11.320755004882812
212,0.0,11.267605781555176
213,100.0,11.682242393493652
214,0.0,11.627906799316406
215,0.0,11.574073791503906
216,0.0,11.520737648010254
217,0.0,11.467889785766602
218,0.0,11.41552448272705
219,0.0,11.363636016845703
220,100.0,11.7647066116333
221,0.0,11.711711883544922
222,100.0,12.107624053955078
223,0.0,12.053571701049805
224,0.0,12.0
225,100.0,12.38938045501709
226,0.0,12.33480167388916
227,0.0,12.280701637268066
228,0.0,12.22707462310791
229,0.0,12.173912048339844
230,0.0,12.121212005615234
231,0.0,12.068965911865234
232,0.0,12.017167091369629
233,0.0,11.965812683105469
234,0.0,11.91489315032959
235,0.0,11.86440658569336
236,0.0,11.814345359802246
237,0.0,11.7647066116333
238,100.0,12.133891105651855
239,0.0,12.083333969116211
240,0.0,12.033195495605469
241,100.0,12.396693229675293
242,0.0,12.345678329467773
243,0.0,12.29508113861084
244,0.0,12.244897842407227
245,0.0,12.195121765136719
246,0.0,12.14574909210205
247,0.0,12.096774101257324
248,0.0,12.048192024230957
249,0.0,12.000000953674316
250,0.0,11.952191352844238
251,0.0,11.904762268066406
252,100.0,12.252964973449707
253,0.0,12.204724311828613
254,0.0,12.15686321258545
255,100.0,12.5
256,0.0,12.451361656188965
257,0.0,12.403100967407227
258,100.0,12.741312026977539
259,0.0,12.692307472229004
260,0.0,12.643677711486816
261,0.0,12.595419883728027
262,0.0,12.547528266906738
263,0.0,12.5
264,0.0,12.45283031463623
265,0.0,12.406015396118164
266,0.0,12.359550476074219
267,0.0,12.313432693481445
268,0.0,12.267658233642578
269,0.0,12.222222328186035
270,0.0,12.177122116088867
271,100.0,12.5
272,100.0,12.820512771606445
273,0.0,12.773722648620605
274,0.0,12.727272987365723
275,0.0,12.681159973144531
276,0.0,12.63537883758545
277,0.0,12.58992862701416
278,100.0,12.903225898742676
279,0.0,12.85714340209961
280,0.0,12.81138801574707
281,0.0,12.76595687866211
282,0.0,12.720848083496094
283,0.0,12.676055908203125
284,0.0,12.631579399108887
285,0.0,12.58741283416748
286,0.0,12.543554306030273
287,0.0,12.5
288,0.0,12.456748008728027
289,0.0,12.413792610168457
290,0.0,12.371133804321289
291,0.0,12.328766822814941
292,0.0,12.286688804626465
293,0.0,12.244897842407227
294,0.0,12.203390121459961
295,0.0,12.162162780761719
296,0.0,12.121212005615234
297,100.0,12.416107177734375
298,0.0,12.374582290649414
299,100.0,12.666666984558105
300,100.0,12.956809997558594
301,100.0,13.245033264160156
302,100.0,13.531353950500488
303,0.0,13.486842155456543
304,0.0,13.442623138427734
305,0.0,13.398693084716797
306,0.0,13.355048179626465
307,0.0,13.311688423156738
308,0.0,13.268609046936035
309,100.0,13.548386573791504
310,0.0,13.504822731018066
311,100.0,13.782051086425781
