Step,Instant_Acc,Avg_Acc
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,100.0,14.285715103149414
7,0.0,12.5
8,0.0,11.111111640930176
9,0.0,10.0
10,0.0,9.090909004211426
11,0.0,8.333333969116211
12,0.0,7.692307949066162
13,0.0,7.142857551574707
14,0.0,6.6666669845581055
15,0.0,6.25
16,0.0,5.882352828979492
17,0.0,5.555555820465088
18,100.0,10.526315689086914
19,0.0,10.0
20,100.0,14.285714149475098
21,0.0,13.636363983154297
22,0.0,13.043478965759277
23,100.0,16.666667938232422
24,0.0,16.0
25,0.0,15.384615898132324
26,100.0,18.518518447875977
27,0.0,17.85714340209961
28,0.0,17.241378784179688
29,0.0,16.666667938232422
30,0.0,16.129032135009766
31,0.0,15.625
32,0.0,15.15151596069336
33,0.0,14.70588207244873
34,0.0,14.285714149475098
35,0.0,13.88888931274414
36,0.0,13.513513565063477
37,0.0,13.1578950881958
38,0.0,12.820512771606445
39,0.0,12.5
40,0.0,12.195121765136719
41,0.0,11.904762268066406
42,0.0,11.627906799316406
43,100.0,13.636363983154297
44,0.0,13.333333969116211
45,0.0,13.043478965759277
46,100.0,14.893616676330566
47,0.0,14.583333969116211
48,0.0,14.285714149475098
49,0.0,14.0
50,0.0,13.72549057006836
51,0.0,13.461539268493652
52,0.0,13.207547187805176
53,0.0,12.962963104248047
54,0.0,12.727272033691406
55,0.0,12.500000953674316
56,0.0,12.280701637268066
57,0.0,12.068965911865234
58,0.0,11.86440658569336
59,100.0,13.333333969116211
60,0.0,13.114753723144531
61,100.0,14.516128540039062
62,0.0,14.285715103149414
63,100.0,15.625
64,0.0,15.384614944458008
65,100.0,16.666667938232422
66,0.0,16.417909622192383
67,0.0,16.176469802856445
68,0.0,15.942028999328613
69,100.0,17.14285659790039
70,0.0,16.90140724182129
71,100.0,18.05555534362793
72,100.0,19.178081512451172
73,100.0,20.27027130126953
74,0.0,20.0
75,0.0,19.73684310913086
76,0.0,19.480520248413086
77,0.0,19.230770111083984
78,0.0,18.987342834472656
79,0.0,18.75
80,0.0,18.518518447875977
81,0.0,18.292682647705078
82,0.0,18.072288513183594
83,100.0,19.047618865966797
84,0.0,18.823530197143555
85,100.0,19.76744270324707
86,0.0,19.54022979736328
87,0.0,19.31818199157715
88,100.0,20.224720001220703
89,0.0,20.0
90,0.0,19.78022003173828
91,100.0,20.65217399597168
92,0.0,20.43010711669922
93,0.0,20.212764739990234
94,0.0,20.0
95,0.0,19.791667938232422
96,100.0,20.61855697631836
97,0.0,20.40816307067871
98,0.0,20.2020206451416
99,0.0,20.0
100,0.0,19.801979064941406
101,0.0,19.60784339904785
102,100.0,20.388349533081055
103,0.0,20.19230842590332
104,0.0,20.0
105,100.0,20.754716873168945
106,100.0,21.49532699584961
107,0.0,21.296297073364258
108,0.0,21.100915908813477
109,0.0,20.909090042114258
110,0.0,20.720720291137695
111,0.0,20.535715103149414
112,0.0,20.35398292541504
113,0.0,20.175437927246094
114,0.0,20.0
115,0.0,19.827585220336914
116,0.0,19.65812110900879
117,0.0,19.491525650024414
118,100.0,20.168067932128906
119,100.0,20.83333396911621
120,0.0,20.661155700683594
121,0.0,20.491802215576172
122,0.0,20.32520294189453
123,100.0,20.967741012573242
124,0.0,20.80000114440918
125,0.0,20.63492202758789
126,0.0,20.472440719604492
127,0.0,20.3125
128,0.0,20.155038833618164
129,0.0,20.0
130,0.0,19.847328186035156
131,100.0,20.454545974731445
132,100.0,21.052631378173828
133,0.0,20.89552116394043
134,100.0,21.481481552124023
135,0.0,21.323530197143555
136,0.0,21.167882919311523
137,0.0,21.014493942260742
138,0.0,20.863309860229492
139,0.0,20.714284896850586
140,0.0,20.56737518310547
141,100.0,21.126760482788086
142,0.0,20.979021072387695
143,100.0,21.52777862548828
144,0.0,21.379310607910156
145,0.0,21.23287582397461
146,0.0,21.08843421936035
147,0.0,20.945945739746094
148,0.0,20.805368423461914
149,0.0,20.666667938232422
150,0.0,20.529800415039062
151,100.0,21.052631378173828
152,0.0,20.9150333404541
153,0.0,20.779220581054688
154,0.0,20.645160675048828
155,0.0,20.512821197509766
156,0.0,20.382165908813477
157,0.0,20.253164291381836
158,0.0,20.12578582763672
159,100.0,20.625
160,0.0,20.49689483642578
161,0.0,20.370370864868164
162,0.0,20.245397567749023
163,100.0,20.731706619262695
164,0.0,20.606060028076172
165,0.0,20.4819278717041
166,0.0,20.359281539916992
167,0.0,20.238096237182617
168,0.0,20.118343353271484
169,0.0,20.0
170,0.0,19.883041381835938
171,0.0,19.76744270324707
172,0.0,19.653179168701172
173,100.0,20.11494255065918
174,0.0,20.0
175,0.0,19.886363983154297
176,0.0,19.774011611938477
177,0.0,19.662921905517578
178,100.0,20.111730575561523
179,0.0,20.0
180,0.0,19.889503479003906
181,100.0,20.329669952392578
182,0.0,20.218578338623047
183,100.0,20.65217399597168
184,100.0,21.08108139038086
185,0.0,20.967741012573242
186,0.0,20.855615615844727
187,100.0,21.276594161987305
188,100.0,21.6931209564209
189,100.0,22.10526466369629
190,0.0,21.98952865600586
191,0.0,21.875
192,0.0,21.76165771484375
193,0.0,21.649484634399414
194,100.0,22.05128288269043
195,0.0,21.93877410888672
196,0.0,21.827411651611328
197,100.0,22.22222137451172
198,0.0,22.110551834106445
199,0.0,22.0
200,100.0,22.388059616088867
201,0.0,22.2772274017334
202,0.0,22.16748809814453
203,0.0,22.05882453918457
204,0.0,21.95121955871582
205,0.0,21.84465980529785
206,0.0,21.7391300201416
207,0.0,21.63461685180664
208,0.0,21.531099319458008
209,0.0,21.428571701049805
210,0.0,21.327014923095703
211,100.0,21.6981143951416
212,0.0,21.59624481201172
213,0.0,21.49532699584961
214,0.0,21.395349502563477
215,0.0,21.296297073364258
216,0.0,21.198156356811523
217,0.0,21.100915908813477
218,0.0,21.004566192626953
219,0.0,20.909090042114258
220,0.0,20.81447982788086
221,0.0,20.720720291137695
222,0.0,20.627803802490234
223,0.0,20.535715103149414
224,0.0,20.44444465637207
225,0.0,20.35398292541504
226,0.0,20.26431655883789
227,100.0,20.61403465270996
228,0.0,20.524017333984375
229,0.0,20.434782028198242
230,0.0,20.34632110595703
231,100.0,20.689655303955078
232,0.0,20.600858688354492
233,0.0,20.512821197509766
234,100.0,20.851062774658203
235,100.0,21.18644142150879
236,0.0,21.0970458984375
237,0.0,21.008403778076172
238,100.0,21.338911056518555
239,100.0,21.666667938232422
240,0.0,21.576765060424805
241,0.0,21.48760223388672
242,100.0,21.810699462890625
243,0.0,21.721309661865234
244,0.0,21.632652282714844
245,0.0,21.544713973999023
246,0.0,21.457490921020508
247,100.0,21.774192810058594
248,0.0,21.68674659729004
249,100.0,22.000001907348633
250,0.0,21.912351608276367
251,0.0,21.825397491455078
252,0.0,21.739131927490234
253,0.0,21.65354347229004
254,0.0,21.568628311157227
255,100.0,21.875
256,0.0,21.78988265991211
257,0.0,21.705427169799805
258,0.0,21.62162208557129
259,0.0,21.538461685180664
260,0.0,21.4559383392334
261,100.0,21.755725860595703
262,0.0,21.673004150390625
263,100.0,21.969697952270508
264,0.0,21.88679313659668
265,0.0,21.80451202392578
266,0.0,21.72284698486328
267,0.0,21.64179039001465
268,0.0,21.561338424682617
269,0.0,21.481481552124023
270,0.0,21.40221405029297
271,0.0,21.323530197143555
272,0.0,21.245420455932617
273,0.0,21.167882919311523
274,0.0,21.090909957885742
275,0.0,21.014493942260742
276,0.0,20.938627243041992
277,0.0,20.863309860229492
278,0.0,20.788530349731445
279,0.0,20.714284896850586
280,0.0,20.64056968688965
281,0.0,20.56737518310547
282,0.0,20.494699478149414
283,0.0,20.422534942626953
284,100.0,20.70175552368164
285,0.0,20.629369735717773
286,0.0,20.557491302490234
287,0.0,20.48611068725586
288,0.0,20.415225982666016
289,0.0,20.34482765197754
290,0.0,20.274913787841797
291,100.0,20.547945022583008
292,0.0,20.477815628051758
293,0.0,20.40816307067871
294,0.0,20.3389835357666
295,100.0,20.608108520507812
296,0.0,20.538719177246094
297,100.0,20.805368423461914
298,100.0,21.070234298706055
299,0.0,21.0
300,0.0,20.930233001708984
301,0.0,20.86092758178711
302,0.0,20.79207992553711
303,0.0,20.723684310913086
304,100.0,20.983606338500977
305,0.0,20.9150333404541
306,0.0,20.846904754638672
307,0.0,20.779220581054688
308,0.0,20.71197509765625
309,100.0,20.967741012573242
310,0.0,20.90032196044922
311,0.0,20.83333396911621
312,100.0,21.086261749267578
