Step,Instant_Acc,Avg_Acc,Prompt_Drift,Prompt_Magnitude
0,0.0,0.0,0.22627390921115875,0.6659189462661743
1,100.0,50.0,0.30054908990859985,0.7009764313697815
2,100.0,66.66667175292969,0.37944966554641724,0.7408310174942017
3,0.0,50.0,0.455978661775589,0.7847922444343567
4,100.0,60.0,0.5285701751708984,0.8307619690895081
5,0.0,50.0,0.5876861214637756,0.8707378506660461
6,0.0,42.85714340209961,0.6437703967094421,0.9104422926902771
7,0.0,37.5,0.696297287940979,0.94865483045578
8,100.0,44.4444465637207,0.7462202906608582,0.9862525463104248
9,0.0,40.0,0.7924772500991821,1.0210586786270142
10,100.0,45.45454788208008,0.22627472877502441,0.6623966693878174
11,100.0,50.0,0.3631390631198883,0.7165232300758362
12,100.0,53.84615707397461,0.4575449526309967,0.7659943699836731
13,100.0,57.142860412597656,0.5453234314918518,0.8184380531311035
14,100.0,60.000003814697266,0.6248887181282043,0.8711007833480835
15,100.0,62.5,0.6924309134483337,0.917465090751648
16,100.0,64.70587921142578,0.7491832375526428,0.9590955376625061
17,0.0,61.11111068725586,0.7995794415473938,0.9982214570045471
18,0.0,57.894737243652344,0.8447535634040833,1.0351508855819702
19,0.0,55.0,0.8839464783668518,1.0677528381347656
20,100.0,57.14285659790039,0.22627484798431396,0.6618515253067017
21,100.0,59.090911865234375,0.3758302927017212,0.7251466512680054
22,0.0,56.5217399597168,0.4517045319080353,0.7672654986381531
23,100.0,58.333335876464844,0.5300320386886597,0.815653920173645
24,0.0,56.0,0.6012210845947266,0.86412513256073
25,0.0,53.84615707397461,0.6533269286155701,0.9046480059623718
26,0.0,51.85185241699219,0.7056676149368286,0.9453151822090149
27,100.0,53.57143020629883,0.7573722004890442,0.9855074286460876
28,100.0,55.17241287231445,0.8028524518013,1.0217413902282715
29,0.0,53.333335876464844,0.8472610712051392,1.057554006576538
30,100.0,54.838706970214844,0.22627350687980652,0.6708047389984131
31,0.0,53.125,0.34471771121025085,0.7227694988250732
32,0.0,51.51515197753906,0.4148730933666229,0.7638015747070312
33,0.0,50.0,0.4738973379135132,0.7993406057357788
34,0.0,48.57143020629883,0.5343404412269592,0.8387566208839417
35,0.0,47.22222137451172,0.5922240614891052,0.8787410855293274
36,100.0,48.648651123046875,0.6482342481613159,0.9192583560943604
37,0.0,47.3684196472168,0.6983715891838074,0.9561676383018494
38,0.0,46.153846740722656,0.7471972107887268,0.9920318722724915
39,100.0,47.5,0.7942625284194946,1.027535319328308
40,100.0,48.780487060546875,0.2262735366821289,0.6705113053321838
41,100.0,50.0,0.36976248025894165,0.7368894219398499
42,100.0,51.16279220581055,0.4826962649822235,0.8027067184448242
43,0.0,50.0,0.5484843254089355,0.8478315472602844
44,100.0,51.11111068725586,0.6110854744911194,0.8934770226478577
45,100.0,52.17391586303711,0.6577519178390503,0.9315640330314636
46,100.0,53.19148635864258,0.7049996852874756,0.9700149893760681
47,0.0,52.083335876464844,0.7497979402542114,1.0065701007843018
48,100.0,53.061222076416016,0.7943167686462402,1.0431584119796753
49,100.0,54.0,0.837108314037323,1.0786993503570557
50,0.0,52.94117736816406,0.22627441585063934,0.664242684841156
51,100.0,53.84615707397461,0.3415292203426361,0.7100778222084045
52,100.0,54.716983795166016,0.4075997471809387,0.7470953464508057
53,0.0,53.703704833984375,0.48191285133361816,0.7919642329216003
