Step,Instant_Acc,Avg_Acc,Prompt_Drift,Prompt_Magnitude
0,0.0,0.0,0.22627520561218262,0.6593066453933716
1,100.0,50.0,0.3710530698299408,0.7178932428359985
2,0.0,33.333335876464844,0.4453887343406677,0.7562121152877808
3,0.0,25.0,0.5199832916259766,0.7991240620613098
4,0.0,20.0,0.587826669216156,0.8419641852378845
5,100.0,33.333335876464844,0.6552287340164185,0.8879926800727844
6,100.0,42.85714340209961,0.7189796566963196,0.9329372048377991
7,100.0,50.0,0.7777527570724487,0.9766541719436646
8,0.0,44.4444465637207,0.8286420106887817,1.0163826942443848
9,0.0,40.0,0.8717455863952637,1.050133228302002
10,100.0,45.45454788208008,0.9099668860435486,1.0818666219711304
11,100.0,50.0,0.9457258582115173,1.1108207702636719
12,100.0,53.84615707397461,0.981977641582489,1.1407076120376587
13,100.0,57.142860412597656,1.0173150300979614,1.1703987121582031
14,0.0,53.333335876464844,1.050387978553772,1.1987180709838867
15,100.0,56.25,1.082283616065979,1.226349949836731
16,100.0,58.82352828979492,1.1127749681472778,1.2529815435409546
17,100.0,61.11111068725586,1.1424407958984375,1.2790374755859375
18,100.0,63.157894134521484,1.1708017587661743,1.3040794134140015
19,100.0,65.0,1.196811556816101,1.3274387121200562
20,100.0,66.66666412353516,1.2220600843429565,1.350068211555481
21,0.0,63.6363639831543,1.2453217506408691,1.371218204498291
22,0.0,60.86956787109375,1.2675727605819702,1.391548991203308
23,100.0,62.5,1.288832426071167,1.4110850095748901
24,0.0,60.0,1.30862557888031,1.4296190738677979
25,0.0,57.69231033325195,1.3280212879180908,1.447812557220459
26,0.0,55.55555725097656,1.3463666439056396,1.465006709098816
27,0.0,53.57143020629883,1.363887071609497,1.4817358255386353
28,0.0,51.72413635253906,1.3807129859924316,1.49788236618042
29,0.0,50.000003814697266,1.398316740989685,1.514722228050232
30,0.0,48.3870964050293,1.4159008264541626,1.531648874282837
31,0.0,46.875,1.433876633644104,1.5487064123153687
32,100.0,48.48484802246094,1.4515761137008667,1.5655838251113892
33,100.0,50.0,1.4688607454299927,1.5820716619491577
34,0.0,48.57143020629883,1.485237717628479,1.5976545810699463
35,100.0,50.0,1.5014560222625732,1.6130980253219604
36,0.0,48.648651123046875,1.5174989700317383,1.6281638145446777
37,0.0,47.3684196472168,1.5343377590179443,1.642872929573059
38,0.0,46.153846740722656,1.5509967803955078,1.6577351093292236
39,0.0,45.0,1.5675503015518188,1.6726652383804321
40,100.0,46.341461181640625,1.5831177234649658,1.6872650384902954
41,0.0,45.238094329833984,1.5994452238082886,1.7017955780029297
42,0.0,44.1860466003418,1.6160798072814941,1.7163543701171875
43,100.0,45.45454788208008,1.6340242624282837,1.7321335077285767
44,100.0,46.66666793823242,1.65236234664917,1.7488858699798584
45,100.0,47.826087951660156,1.6705608367919922,1.7662043571472168
